saleline_id,order_id,product,category,sale_amount,quantity
563832,323741,SKU 1,Cushions,350,4
559257,320135,SKU 1,Cushions,175,2
562777,305952,SKU 1,Cushions,175,2
561932,321951,SKU 1,Cushions,0,1
567526,326744,SKU 2,Cushions,0,2
566431,325810,SKU 2,Cushions,0,2
563844,295133,SKU 2,Cushions,111.755,1
562734,322881,SKU 2,Cushions,67.865,2
562100,290321,SKU 2,Cushions,112.385,1
561473,321923,SKU 2,Cushions,0,1
593704,346350,SKU 3,Sofa Covers,1396.5,1
596115,348252,SKU 3,Sofa Covers,1396.5,1
571530,226392,SKU 4,Rectangular Dining Tables,2446.5,1
570610,328976,SKU 4,Rectangular Dining Tables,2446.5,1
559349,320195,SKU 5,Dining Chairs,903,2
597115,349608,SKU 5,Dining Chairs,2079,6
574214,331823,SKU 5,Dining Chairs,903,2
567568,326771,SKU 5,Dining Chairs,903,2
563659,323645,SKU 5,Dining Chairs,1806,4
598136,349891,SKU 5,Dining Chairs,1386,4
583942,338742,SKU 6,TV Consoles,2266.88,1
576980,334008,SKU 6,TV Consoles,2446.5,1
600725,351784,SKU 6,TV Consoles,2446.5,1
568104,327185,SKU 6,TV Consoles,2411.5,1
565158,324707,SKU 6,TV Consoles,2516.5,1
564707,324347,SKU 6,TV Consoles,2516.5,1
563583,323591,SKU 6,TV Consoles,2516.5,1
559876,320590,SKU 6,TV Consoles,2516.5,1
652927,233050,SKU 6,TV Consoles,2331.525,1
564181,323973,SKU 6,TV Consoles,2516.5,1
563037,323129,SKU 6,TV Consoles,2516.5,1
559055,322135,SKU 6,TV Consoles,2516.5,1
601858,352652,SKU 6,TV Consoles,2446.5,1
620111,353350,SKU 6,TV Consoles,2341.5,1
618238,348659,SKU 6,TV Consoles,2446.5,1
586791,340744,SKU 7,Ottomans,836.5,1
648194,333862,SKU 7,Ottomans,906.5,1
646501,201197,SKU 7,Ottomans,906.5,1
567382,298879,SKU 7,Ottomans,801.5,1
560395,321020,SKU 7,Ottomans,801.5,1
585610,339900,SKU 7,Ottomans,752.85,1
659696,323680,SKU 7,Ottomans,906.5,1
588105,341936,SKU 8,Armchairs,1886.5,1
644689,308984,SKU 8,Armchairs,1501.5,1
600696,351782,SKU 8,Armchairs,1886.5,1
569662,328174,SKU 8,Armchairs,1851.5,1
562392,322610,SKU 8,Armchairs,3703,2
564772,324634,SKU 8,Armchairs,1851.5,1
600726,351755,SKU 8,Armchairs,1886.5,1
594800,348002,SKU 8,Armchairs,1886.5,1
560764,321260,SKU 9,Rectangular Dining Tables,2971.5,1
588364,269968,SKU 10,Ottomans,451.5,1
584477,311230,SKU 10,Ottomans,510.86,1
769882,279628,SKU 11,Armchairs,2096.5,1
585611,339900,SKU 11,Armchairs,2201.85,1
646499,201197,SKU 11,Armchairs,2306.5,1
586789,340744,SKU 11,Armchairs,2446.5,1
560394,321020,SKU 11,Armchairs,2201.5,1
592663,333754,SKU 11,Armchairs,2376.5,1
573042,330871,SKU 12,Sofa Covers,1396.5,1
596346,348387,SKU 12,Sofa Covers,1396.5,1
576425,333628,SKU 13,Rectangular Dining Tables,1746.5,1
576270,336680,SKU 13,Rectangular Dining Tables,1746.5,1
574004,331663,SKU 13,Rectangular Dining Tables,1746.5,1
576987,334012,SKU 13,Rectangular Dining Tables,1746.5,1
573486,200204,SKU 13,Rectangular Dining Tables,1746.5,1
568080,327212,SKU 13,Rectangular Dining Tables,1746.5,1
567175,326453,SKU 13,Rectangular Dining Tables,1746.5,1
564798,324378,SKU 13,Rectangular Dining Tables,1746.5,1
560086,320777,SKU 13,Rectangular Dining Tables,1746.5,1
584863,339358,SKU 13,Rectangular Dining Tables,1746.5,1
583831,338682,SKU 13,Rectangular Dining Tables,3198.3,2
576406,333618,SKU 13,Rectangular Dining Tables,1746.5,1
575357,332751,SKU 13,Rectangular Dining Tables,1746.5,1
571519,329704,SKU 13,Rectangular Dining Tables,1746.5,1
570424,328820,SKU 13,Rectangular Dining Tables,1746.5,1
566271,325659,SKU 13,Rectangular Dining Tables,1746.5,1
567255,326533,SKU 14,Sofa Covers,171.5,1
577464,334328,SKU 15,Bedside Tables,2863,2
576752,333845,SKU 15,Bedside Tables,1431.5,1
572504,330471,SKU 15,Bedside Tables,1431.5,1
587260,341282,SKU 16,Dining Chairs,1393,2
574022,331676,SKU 16,Dining Chairs,1393,2
588612,342280,SKU 16,Dining Chairs,1393,2
573299,331026,SKU 16,Dining Chairs,1393,2
560852,321341,SKU 16,Dining Chairs,1393,2
567622,326809,SKU 16,Dining Chairs,1393,2
562218,286870,SKU 16,Dining Chairs,1393,2
568856,327686,SKU 16,Dining Chairs,1275.75,2
568856,327686,SKU 16,Dining Chairs,1275.75,2
602170,352862,SKU 17,Modular Chaises,1431.5,1
580637,336538,SKU 18,Modular Corner Sofas,906.5,1
589362,342883,SKU 19,Ottomans,451.5,1
591513,291581,SKU 19,Ottomans,392.105,1
591027,344094,SKU 20,Rectangular Dining Tables,1746.5,1
589591,343055,SKU 20,Rectangular Dining Tables,1746.5,1
579873,336001,SKU 20,Rectangular Dining Tables,1921.5,1
578657,335092,SKU 20,Rectangular Dining Tables,1767.045,1
586363,338388,SKU 20,Rectangular Dining Tables,1816.5,1
580584,336511,SKU 20,Rectangular Dining Tables,1759.765,1
579748,335922,SKU 20,Rectangular Dining Tables,1921.5,1
568330,327314,SKU 20,Rectangular Dining Tables,2096.5,1
560437,321049,SKU 20,Rectangular Dining Tables,2096.5,1
592249,345209,SKU 20,Rectangular Dining Tables,1746.5,1
591695,344850,SKU 20,Rectangular Dining Tables,1746.5,1
590191,343481,SKU 20,Rectangular Dining Tables,1746.5,1
583505,338472,SKU 20,Rectangular Dining Tables,1782.095,1
575686,332975,SKU 20,Rectangular Dining Tables,1921.5,1
575274,332660,SKU 20,Rectangular Dining Tables,1921.5,1
572531,330491,SKU 20,Rectangular Dining Tables,2096.5,1
571231,329488,SKU 20,Rectangular Dining Tables,2096.5,1
560341,320969,SKU 20,Rectangular Dining Tables,2096.5,1
559563,320346,SKU 20,Rectangular Dining Tables,2096.5,1
595503,347792,SKU 20,Rectangular Dining Tables,1746.5,1
593105,345895,SKU 20,Rectangular Dining Tables,1746.5,1
592295,345396,SKU 20,Rectangular Dining Tables,1746.5,1
583719,338592,SKU 21,Poufs,157.605,1
581922,337410,SKU 21,Poufs,343,2
580874,336673,SKU 21,Poufs,171.5,1
559709,320444,SKU 21,Poufs,171.5,1
559663,320412,SKU 21,Poufs,171.5,1
559169,320072,SKU 21,Poufs,343,2
579888,336009,SKU 22,Poufs,315,2
579468,335695,SKU 22,Poufs,144.095,1
579347,335611,SKU 22,Poufs,157.5,1
579237,335532,SKU 22,Poufs,143.045,1
578517,334998,SKU 22,Poufs,630,4
578486,334529,SKU 22,Poufs,157.5,1
577583,334440,SKU 22,Poufs,157.5,1
579516,335737,SKU 22,Poufs,157.5,1
579140,335434,SKU 22,Poufs,157.5,1
578833,335217,SKU 22,Poufs,157.5,1
578804,335200,SKU 22,Poufs,139.44,1
579144,335441,SKU 22,Poufs,139.72,1
578993,335319,SKU 22,Poufs,157.5,1
577167,334152,SKU 22,Poufs,315,2
574844,332342,SKU 23,Poufs,311.5,1
576918,333980,SKU 24,Dining Chairs,1043,2
575971,333291,SKU 24,Dining Chairs,4172,8
578663,335092,SKU 24,Dining Chairs,2877.455,6
597053,348903,SKU 24,Dining Chairs,1806,4
600630,351729,SKU 24,Dining Chairs,1806,4
563195,323275,SKU 25,Modular 2-Seater Sofas,3286.5,1
570735,329044,SKU 25,Modular 2-Seater Sofas,3286.5,1
585015,335829,SKU 26,Poufs,235.585,2
584275,338984,SKU 26,Poufs,143.815,1
583991,338777,SKU 26,Poufs,157.5,1
583812,338278,SKU 26,Poufs,143.675,1
581320,337005,SKU 26,Poufs,157.5,1
581306,336996,SKU 26,Poufs,145.775,1
581107,336896,SKU 26,Poufs,157.5,1
577288,332632,SKU 26,Poufs,143.22,1
578855,335401,SKU 26,Poufs,144.235,1
578748,335143,SKU 26,Poufs,145.985,1
577069,297249,SKU 26,Poufs,120.89,1
577889,334605,SKU 26,Poufs,139.3,1
576973,334010,SKU 26,Poufs,157.5,1
585236,331289,SKU 26,Poufs,315,2
584927,292785,SKU 26,Poufs,35,2
583764,338629,SKU 26,Poufs,157.5,1
581151,337009,SKU 26,Poufs,144.235,1
579467,335695,SKU 26,Poufs,144.095,1
577783,334490,SKU 26,Poufs,291.83,2
582054,337514,SKU 26,Poufs,157.5,1
581038,333634,SKU 26,Poufs,148.505,1
580643,336537,SKU 26,Poufs,142.485,1
